Grand Prix	Circuit	Laps	Track Length	Race Distance
Bahrain GP	Bahrain International Circuit	57	5.412 km	308.238 km
Saudi Arabian GP	Jeddah Corniche Circuit	50	6.174 km	308.450 km
Australian GP	Albert Park Circuit	58	5.278 km	306.124 km
Japanese GP	Suzuka	53	5.807 km	307.471 km
Chinese GP	Shanghai International Circuit	56	5.451 km	305.066 km
Miami GP	Miami International Autodrome	57	5.412 km	308.326 km
Emilia-Romagna GP	Autodromo Enzo e Dino Ferrari	63	4.909 km	309.049 km
Monaco GP	Circuit de Monaco	78	3.337 km	260.286 km
Canadian GP	Circuit Gilles Villeneuve	70	4.361 km	305.270 km
Spanish GP	Circuit de Barcelona-Catalunya	66	4.657 km	307.236 km
Austrian GP	Red Bull Ring	71	4.318 km	306.452 km
British GP	Silverstone	52	5.891 km	306.198 km
Hungarian GP	Hungaroring	70	4.381 km	306.630 km
Belgian GP	Spa-Francorchamps	44	7.004 km	308.052 km
Dutch GP	Zandvoort	72	4.259 km	306.587 km
Italian GP	Monza	53	5.793 km	306.720 km
Azerbaijan GP	Baku City Circuit	51	6.003 km	306.049 km
Singapore GP	Marina Bay	62	4.940 km	306.143 km
United States GP	Circuit of the Americas	56	5.513 km	308.405 km
Mexico GP	Autodromo Hermanos Rodríguez	71	4.304 km	305.354 km
São Paulo GP	Interlagos	71	4.309 km	305.879 km
Las Vegas GP	Las Vegas Strip Circuit	50	6.201 km	309.958 km
Qatar GP	Losail International Circuit	57	5.419 km	308.611 km
Abu Dhabi GP	Yas Marina Circuit	58	5.281 km	306.183 km
